0, 2, 4, 6
0, 2, 6, 148
0, 2, 6, 155
0, 2, 6, 156
0, 2, 6, 160
0, 2, 6, 163
0, 2, 6, 170
0, 2, 6, 172
0, 2, 6, 173
0, 2, 6, 181
0, 2, 6, 185
0, 2, 6, 188
0, 2, 6, 191
0, 2, 6, 195
0, 2, 6, 196
0, 2, 6, 200
0, 2, 6, 202
0, 2, 6, 204
0, 2, 6, 206
0, 2, 6, 212
0, 2, 6, 213
0, 2, 6, 214
0, 2, 6, 215
0, 2, 6, 216
0, 2, 6, 217
0, 2, 6, 218
0, 2, 6, 219
0, 2, 6, 222
0, 2, 6, 226
0, 2, 6, 230
0, 2, 6, 235
0, 2, 6, 236
0, 2, 6, 239
0, 2, 6, 240
0, 2, 6, 243
0, 2, 6, 246
0, 2, 6, 248
0, 2, 6, 252
0, 2, 6, 257
0, 2, 6, 262
0, 2, 6, 263
0, 2, 6, 265
0, 2, 6, 267
0, 2, 6, 269
0, 2, 6, 270
0, 2, 6, 271
0, 2, 6, 272
0, 2, 6, 276
0, 2, 6, 277
0, 2, 6, 279
0, 2, 6, 280
0, 2, 6, 281
0, 2, 6, 282
0, 2, 6, 284
0, 2, 6, 286
0, 2, 6, 288
0, 2, 6, 289
0, 2, 6, 303
0, 2, 6, 308
0, 2, 6, 311
0, 2, 6, 316
0, 2, 6, 321
0, 2, 6, 323
0, 2, 6, 334
0, 2, 6, 339
0, 2, 6, 342
0, 2, 6, 346
0, 2, 6, 350
0, 2, 6, 351
0, 2, 6, 355
0, 2, 6, 357
0, 2, 6, 359
0, 2, 6, 360
0, 2, 6, 362
0, 2, 6, 373
0, 2, 6, 380
0, 2, 6, 386
0, 2, 6, 408
0, 2, 6, 410
0, 2, 6, 415
0, 2, 6, 418
0, 2, 6, 425
0, 2, 6, 427
0, 2, 6, 430
0, 2, 6, 432
0, 2, 6, 444
0, 2, 6, 445
0, 2, 6, 446
0, 2, 6, 450
0, 2, 6, 471
0, 2, 6, 472
0, 2, 6, 476
0, 2, 6, 492
0, 2, 6, 493
0, 2, 6, 494
0, 2, 6, 495
0, 2, 6, 496
0, 2, 6, 499
0, 2, 6, 504
0, 2, 6, 509
0, 2, 6, 513
0, 2, 6, 515
0, 2, 6, 522
0, 2, 6
